"No.","Time","Source","Destination","Protocol","Length","Info"
"31","0.372489341","10.9.2.132","157.240.195.56","TLSv1.2","136","Application Data"
"37","0.585684021","157.240.195.56","10.9.2.132","TLSv1.2","138","Application Data"
"61","0.971565093","10.9.2.132","157.240.195.56","TLSv1.2","136","Application Data"
"1633","8.304772763","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"1634","8.304796124","10.9.2.132","157.240.195.56","TCP","4170","41722  >  443 [PSH, ACK] Seq=171 Ack=73 Win=8292 Len=4104 TSval=1553709118 TSecr=2428166307 [TCP segment of a reassembled PDU]"
"1635","8.305264045","10.9.2.132","157.240.195.56","TLSv1.2","702","Application Data"
"1660","8.519468455","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"1668","8.624343334","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"1669","8.624381486","10.9.2.132","157.240.195.56","TCP","4170","41722  >  443 [PSH, ACK] Seq=4941 Ack=184 Win=8292 Len=4104 TSval=1553709437 TSecr=2428173813 [TCP segment of a reassembled PDU]"
"1670","8.624881418","10.9.2.132","157.240.195.56","TLSv1.2","1614","Application Data"
"1704","8.835922145","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"1706","8.858784757","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"1719","8.932628408","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"1720","8.932648743","10.9.2.132","157.240.195.56","TCP","5538","41722  >  443 [PSH, ACK] Seq=10623 Ack=391 Win=8292 Len=5472 TSval=1553709746 TSecr=2428174151 [TCP segment of a reassembled PDU]"
"1721","8.933182503","10.9.2.132","157.240.195.56","TLSv1.2","2102","Application Data"
"1782","9.160713433","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"1783","9.160713580","157.240.195.56","10.9.2.132","TLSv1.2","1930","Application Data, Application Data"
"1784","9.160713597","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"1795","9.224918533","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"1796","9.224940609","10.9.2.132","157.240.195.56","TCP","6906","41722  >  443 [PSH, ACK] Seq=18161 Ack=2462 Win=8292 Len=6840 TSval=1553710038 TSecr=2428174454 [TCP segment of a reassembled PDU]"
"1797","9.225590219","10.9.2.132","157.240.195.56","TLSv1.2","286","Application Data"
"1816","9.295871716","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"1819","9.297270311","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"1836","9.313364265","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"1848","9.351546606","10.9.2.132","157.240.195.56","TLSv1.2","174","Application Data"
"1874","9.446177827","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"1875","9.446177873","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"1896","9.502381742","157.240.195.56","10.9.2.132","TLSv1.2","161","Application Data"
"1898","9.503907745","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"1899","9.503923846","10.9.2.132","157.240.195.56","TLSv1.2","3462","Application Data"
"1930","9.713713058","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"1931","9.713713197","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"1933","9.741264757","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"1934","9.741814108","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"1964","9.977143851","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"1965","9.982123775","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"2009","10.275581180","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"2010","10.276207248","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"2012","10.292174976","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"2013","10.294595622","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"2022","10.356846037","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"2023","10.358709838","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"2025","10.360628693","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"2026","10.362519016","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"2039","10.462704352","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"2040","10.463086659","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"2042","10.463763526","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"2058","10.651014119","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"2059","10.653351801","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"2060","10.653624482","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"2214","13.499373753","10.9.2.132","157.240.195.56","TLSv1.2","136","Application Data"
"2226","13.795151032","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"2235","13.799384100","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"2258","14.486490215","10.9.2.132","157.240.195.56","TLSv1.2","297","Application Data"
"2279","14.749193556","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"2300","15.002825716","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
"2302","15.004701103","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"2335","15.095231175","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"2336","15.097129853","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"3379","25.058585654","10.9.2.132","157.240.195.56","QUIC","1399","0-RTT, DCID=e59a5847e408075d, SCID=4505fe"
"3380","25.102066810","157.240.195.56","10.9.2.132","QUIC","1274","Initial, DCID=4505fe, SCID=763980a7f5845a57, PKN: 11488976, CRYPTO, ACK, PADDING"
"4402","26.622541341","10.9.2.132","157.240.195.56","TLSv1.2","105","Application Data"
"4403","26.623117594","10.9.2.132","157.240.195.56","TLSv1.2","90","Application Data"
"4406","26.664469545","157.240.195.56","10.9.2.132","TLSv1.2","105","Application Data"
"4720","27.933591227","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"4721","27.933612903","10.9.2.132","157.240.195.56","TCP","4170","41722  >  443 [PSH, ACK] Seq=30613 Ack=4144 Win=8292 Len=4104 TSval=1553728747 TSecr=2428180432 [TCP segment of a reassembled PDU]"
"4722","27.934090976","10.9.2.132","157.240.195.56","TLSv1.2","1919","Application Data"
"5342","28.151224467","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"5438","28.226089695","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"5439","28.226101863","10.9.2.132","157.240.195.56","TLSv1.2","4278","Application Data"
"6112","28.428671307","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"6308","28.493099761","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"6309","28.493099847","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"6550","28.747688288","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"6604","28.833575726","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"7677","29.295512830","157.240.195.56","10.9.2.132","TLSv1.2","2037","Application Data, Application Data"
"7959","29.399901765","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"7960","29.399987131","10.9.2.132","157.240.195.56","TLSv1.2","256","Application Data, Application Data"
"7964","29.401112523","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"7998","29.415121276","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"8016","29.422795519","10.9.2.132","157.240.195.56","TLSv1.2","174","Application Data"
"8573","29.583312377","157.240.195.56","10.9.2.132","TLSv1.2","161","Application Data"
"13297","31.771330592","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
