"No.","Time","Source","Destination","Protocol","Length","Info"
"271","1.870315862","10.9.2.132","157.240.195.56","TLSv1.2","3241","Application Data"
"272","1.871169071","10.9.2.132","157.240.195.56","TLSv1.2","1450","Application Data"
"286","2.022094136","157.240.195.56","10.9.2.132","TLSv1.2","131","Application Data"
"287","2.022371031","157.240.195.56","10.9.2.132","TLSv1.2","131","Application Data"
"1405","9.944665347","157.240.195.56","10.9.2.132","TLSv1.2","1040","Application Data"
"1410","9.976816753","10.9.2.132","157.240.195.56","TLSv1.2","153","Application Data"
"1413","9.998118856","10.9.2.132","157.240.195.56","TLSv1.2","167","Application Data"
"1416","10.028208418","10.9.2.132","157.240.195.56","TLSv1.2","160","Application Data"
"1417","10.028537228","10.9.2.132","157.240.195.56","TLSv1.2","160","Application Data"
"1418","10.029522389","10.9.2.132","157.240.195.56","TLSv1.2","142","Application Data"
"1433","10.136247403","157.240.195.56","10.9.2.132","TLSv1.2","141","Application Data"
"1441","10.180001436","157.240.195.56","10.9.2.132","TLSv1.2","1076","Application Data"
"1445","10.183912550","157.240.195.56","10.9.2.132","TLSv1.2","512","Application Data"
"1447","10.183912590","157.240.195.56","10.9.2.132","TLSv1.2","550","Application Data"
"1796","12.412266529","10.9.2.132","157.240.195.56","TLSv1.2","131","Application Data"
"1887","13.561406339","157.240.195.56","10.9.2.132","TLSv1.2","216","Application Data"
"1890","13.575553689","10.9.2.132","157.240.195.56","TLSv1.2","143","Application Data"
"2961","21.504413673","157.240.195.56","10.9.2.132","TLSv1.2","836","Application Data"
"2967","21.551184287","10.9.2.132","157.240.195.56","TLSv1.2","167","Application Data"
"3297","25.128535591","157.240.195.56","10.9.2.132","TLSv1.2","216","Application Data"
"3299","25.139067203","10.9.2.132","157.240.195.56","TLSv1.2","143","Application Data"
"3762","29.814402902","157.240.195.56","10.9.2.132","TLSv1.2","198","Application Data"
"3763","29.819182082","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"3863","30.875363496","157.240.195.56","10.9.2.132","TLSv1.2","265","Application Data"
"3865","30.888937802","10.9.2.132","157.240.195.56","TLSv1.2","221","Application Data"
"3874","31.042011743","157.240.195.56","10.9.2.132","TLSv1.2","186","Application Data"
"3875","31.070308718","10.9.2.132","157.240.195.56","TLSv1.2","157","Application Data"
"4444","36.563366456","157.240.195.56","10.9.2.132","TLSv1.2","836","Application Data"
"4455","36.612828568","10.9.2.132","157.240.195.56","TLSv1.2","167","Application Data"
"4999","40.070105637","157.240.195.56","10.9.2.132","TLSv1.2","263","Application Data"
"5003","40.097736008","10.9.2.132","157.240.195.56","TLSv1.2","143","Application Data"
"5788","46.060256870","157.240.195.56","10.9.2.132","TLSv1.2","836","Application Data"
"5795","46.099861180","10.9.2.132","157.240.195.56","TLSv1.2","167","Application Data"
"5848","46.530198126","157.240.195.56","10.9.2.132","TLSv1.2","1779","Application Data, Application Data"
"5851","46.556827898","10.9.2.132","157.240.195.56","TLSv1.2","167","Application Data"
"6149","49.708291736","157.240.195.56","10.9.2.132","TLSv1.2","263","Application Data"
"6152","49.737178624","10.9.2.132","157.240.195.56","TLSv1.2","143","Application Data"
"6373","52.439744493","10.9.2.132","157.240.195.56","TLSv1.2","137","Application Data"
"6388","52.588768958","157.240.195.56","10.9.2.132","TLSv1.2","139","Application Data"
"7882","66.437357257","10.9.2.132","157.240.195.56","TLSv1.2","131","Application Data"
"8267","68.039563270","10.9.2.132","157.240.195.56","TLSv1.2","137","Application Data"
"8291","68.188439117","157.240.195.56","10.9.2.132","TLSv1.2","139","Application Data"
"9546","77.547396903","157.240.195.56","10.9.2.132","TLSv1.2","1089","Application Data"
"9559","77.616788056","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"9596","77.768827993","157.240.195.56","10.9.2.132","TLSv1.2","198","Application Data"
"9600","77.775702991","157.240.195.56","10.9.2.132","TLSv1.2","885","Application Data"
"9649","77.885103812","157.240.195.56","10.9.2.132","TLSv1.2","180","Application Data"
"9673","78.057333313","157.240.195.56","10.9.2.132","TLSv1.2","885","Application Data"
"9678","78.135229820","157.240.195.56","10.9.2.132","TLSv1.2","180","Application Data"
"9703","78.296648495","157.240.195.56","10.9.2.132","TLSv1.2","869","Application Data"
"9711","78.435948799","157.240.195.56","10.9.2.132","TLSv1.2","180","Application Data"
"9726","78.509068375","157.240.195.56","10.9.2.132","TLSv1.2","869","Application Data"
"9744","78.662357598","157.240.195.56","10.9.2.132","TLSv1.2","180","Application Data"
"9759","78.897443573","157.240.195.56","10.9.2.132","TLSv1.2","180","Application Data"
"9784","79.282816315","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"9789","79.303478971","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
