"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.196.60","10.9.1.23","TLSv1.2","146","Application Data"
"2","2.081548091","10.9.1.23","157.240.196.60","TLSv1.2","129","Application Data"
"3","4.298999108","157.240.196.60","10.9.1.23","TLSv1.2","162","Application Data"
"4","4.317149818","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"5","9.318885866","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"6","9.318886090","157.240.196.60","10.9.1.23","TLSv1.2","2150","Application Data, Application Data"
"7","9.382406906","10.9.1.23","157.240.196.60","TLSv1.2","141","Application Data"
"8","9.393510994","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"9","9.525094863","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"10","9.530949356","157.240.196.60","10.9.1.23","TLSv1.2","2630","Application Data, Application Data"
"11","9.533455923","157.240.196.60","10.9.1.23","TLSv1.2","1086","Application Data"
"12","9.627710229","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"13","9.931254873","157.240.196.60","10.9.1.23","TLSv1.2","1379","Application Data"
"14","9.992332339","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"15","10.175360133","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"16","10.181241456","157.240.196.60","10.9.1.23","TLSv1.2","2802","Application Data"
"17","10.181241607","157.240.196.60","10.9.1.23","TLSv1.2","214","Application Data"
"18","10.268800541","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"19","10.546519248","157.240.196.60","10.9.1.23","TLSv1.2","1299","Application Data"
"20","10.600772779","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"21","10.774415305","157.240.196.60","10.9.1.23","TLSv1.2","2425","Application Data, Application Data"
"22","10.850228798","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"23","11.161123815","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"24","11.161124090","157.240.196.60","10.9.1.23","TLSv1.2","1766","Application Data, Application Data"
"25","11.243012716","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"26","11.321731863","157.240.196.60","10.9.1.23","TLSv1.2","1523","Application Data"
"27","11.416318330","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"28","11.672999490","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"29","11.672999895","157.240.196.60","10.9.1.23","TLSv1.2","2802","Application Data"
"30","11.672999956","157.240.196.60","10.9.1.23","TLSv1.2","502","Application Data"
"31","11.763019815","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"32","11.973319018","157.240.196.60","10.9.1.23","TLSv1.2","1347","Application Data"
"33","12.036159390","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"34","12.389186647","157.240.196.60","10.9.1.23","TLSv1.2","1411","Application Data"
"35","12.490101260","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"36","12.578627154","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"37","12.583012722","157.240.196.60","10.9.1.23","TLSv1.2","2102","Application Data, Application Data"
"38","12.648912518","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"39","14.334708116","10.9.1.23","157.240.196.60","TCP","4170","47216  >  443 [PSH, ACK] Seq=1386 Ack=33703 Win=557 Len=4104 TSval=3298999624 TSecr=3540555815 [TCP segment of a reassembled PDU]"
"40","14.334723267","10.9.1.23","157.240.196.60","TCP","4170","47216  >  443 [PSH, ACK] Seq=5490 Ack=33703 Win=557 Len=4104 TSval=3298999624 TSecr=3540555815 [TCP segment of a reassembled PDU]"
"41","14.337097821","10.9.1.23","157.240.196.60","TLSv1.2","402","Application Data"
"42","14.495794105","157.240.196.60","10.9.1.23","TLSv1.2","130","Application Data"
"43","14.510331534","10.9.1.23","157.240.196.60","TLSv1.3","583","Client Hello"
"44","14.553474594","157.240.196.60","10.9.1.23","TLSv1.3","278","Server Hello, Change Cipher Spec, Application Data"
"45","14.554034836","10.9.1.23","157.240.196.60","TLSv1.3","130","Change Cipher Spec, Application Data"
"46","14.554255485","10.9.1.23","157.240.196.60","TLSv1.3","164","Application Data"
"47","14.554990046","10.9.1.23","157.240.196.60","TLSv1.3","415","Application Data"
"48","14.555123431","10.9.1.23","157.240.196.60","TLSv1.3","1085","Application Data"
"49","14.555402738","10.9.1.23","157.240.196.60","TLSv1.3","1205","Application Data, Application Data"
"50","14.595963287","157.240.196.60","10.9.1.23","TLSv1.3","237","Application Data"
"51","14.595963336","157.240.196.60","10.9.1.23","TLSv1.3","140","Application Data"
