"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.196.60","10.9.1.23","TLSv1.2","146","Application Data"
"2","0.000000215","157.240.196.60","10.9.1.23","TLSv1.2","146","Application Data"
"3","0.307148459","157.240.196.60","10.9.1.23","TLSv1.2","146","Application Data"
"4","2.673307544","157.240.196.60","10.9.1.23","TLSv1.2","334","Application Data"
"5","2.673307822","157.240.196.60","10.9.1.23","TLSv1.2","146","Application Data"
"6","2.713156924","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"7","3.484078110","157.240.196.60","10.9.1.23","TLSv1.2","302","Application Data"
"8","3.497232630","157.240.196.60","10.9.1.23","TLSv1.2","146","Application Data"
"9","3.521932598","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"10","4.098724130","157.240.196.60","10.9.1.23","TLSv1.2","146","Application Data"
"11","7.795625953","10.9.1.23","157.240.196.60","TLSv1.2","129","Application Data"
"12","8.601998481","157.240.196.60","10.9.1.23","TLSv1.2","1516","Application Data"
"13","8.601998651","157.240.196.60","10.9.1.23","TLSv1.2","2689","Application Data, Application Data"
"14","8.635689177","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"15","10.241332238","157.240.196.60","10.9.1.23","TLSv1.2","318","Application Data"
"16","10.272398639","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"17","15.872162684","157.240.196.60","10.9.1.23","TLSv1.2","174","Application Data"
"18","15.891813267","10.9.1.23","157.240.196.60","TLSv1.2","140","Application Data"
"19","16.486916121","157.240.196.60","10.9.1.23","TLSv1.2","178","Application Data"
"20","16.489647325","10.9.1.23","157.240.196.60","TLSv1.2","166","Application Data"
"21","17.101574241","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"22","17.101574503","157.240.196.60","10.9.1.23","TLSv1.2","2661","Application Data"
"23","17.101574557","157.240.196.60","10.9.1.23","TCP","2802","443  >  47216 [PSH, ACK] Seq=9638 Ack=631 Win=2038 Len=2736 TSval=3541421851 TSecr=3299863481 [TCP segment of a reassembled PDU]"
"24","17.101574611","157.240.196.60","10.9.1.23","TLSv1.2","1416","Application Data"
"25","17.101574665","157.240.196.60","10.9.1.23","TLSv1.2","1749","Application Data, Application Data"
"26","17.122382992","10.9.1.23","157.240.196.60","TLSv1.2","152","Application Data"
"27","17.124291721","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"28","17.409179971","157.240.196.60","10.9.1.23","TLSv1.2","1395","Application Data"
"29","17.409180183","157.240.196.60","10.9.1.23","TLSv1.2","140","Application Data"
"30","17.441165886","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"31","20.992842034","157.240.196.60","10.9.1.23","TLSv1.2","398","Application Data"
"32","21.000854485","10.9.1.23","157.240.196.60","TLSv1.2","164","Application Data"
"33","21.027237261","10.9.1.23","157.240.196.60","TLSv1.2","166","Application Data"
"34","21.027334086","10.9.1.23","157.240.196.60","TLSv1.2","264","Application Data, Application Data"
"35","47.375905898","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"36","47.616285167","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"37","53.249043237","157.240.196.60","10.9.1.23","TLSv1.2","318","Application Data"
"38","53.298021451","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"39","61.953836381","157.240.196.60","10.9.1.23","TLSv1.2","2009","Application Data, Application Data"
"40","62.004359023","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"41","66.147236494","157.240.196.60","10.9.1.23","TLSv1.2","214","Application Data"
"42","66.175161957","10.9.1.23","157.240.196.60","TLSv1.2","141","Application Data"
"43","74.754255782","157.240.196.60","10.9.1.23","TLSv1.2","1516","Application Data"
"44","74.754255834","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"45","74.754255924","157.240.196.60","10.9.1.23","TLSv1.2","2802","Application Data"
"46","74.754256027","157.240.196.60","10.9.1.23","TLSv1.2","306","Application Data"
"47","74.754380057","157.240.196.60","10.9.1.23","TLSv1.2","720","Application Data"
"48","74.786907798","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"49","74.849257764","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"50","75.265854473","157.240.196.60","10.9.1.23","TLSv1.2","2473","Application Data, Application Data"
"51","75.303499875","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"52","76.184756175","10.9.1.23","157.240.196.60","TCP","4170","47216  >  443 [PSH, ACK] Seq=1945 Ack=28557 Win=2732 Len=4104 TSval=3299923176 TSecr=3541480170 [TCP segment of a reassembled PDU]"
"53","76.184796995","10.9.1.23","157.240.196.60","TCP","4170","47216  >  443 [PSH, ACK] Seq=6049 Ack=28557 Win=2732 Len=4104 TSval=3299923176 TSecr=3541480170 [TCP segment of a reassembled PDU]"
"54","76.187310927","10.9.1.23","157.240.196.60","TLSv1.2","1477","Application Data"
"55","76.342480873","157.240.196.60","10.9.1.23","TLSv1.2","130","Application Data"
"56","76.382822447","10.9.1.23","157.240.196.60","TLSv1.3","583","Client Hello"
"57","76.424466483","157.240.196.60","10.9.1.23","TLSv1.3","278","Server Hello, Change Cipher Spec, Application Data"
"58","76.424971841","10.9.1.23","157.240.196.60","TLSv1.3","130","Change Cipher Spec, Application Data"
"59","76.425150830","10.9.1.23","157.240.196.60","TLSv1.3","164","Application Data"
"60","76.425838062","10.9.1.23","157.240.196.60","TLSv1.3","415","Application Data"
"61","76.425962463","10.9.1.23","157.240.196.60","TLSv1.3","983","Application Data"
"62","76.426250562","10.9.1.23","157.240.196.60","TLSv1.3","1104","Application Data, Application Data"
"63","76.468026370","157.240.196.60","10.9.1.23","TLSv1.3","237","Application Data"
"64","76.468026438","157.240.196.60","10.9.1.23","TLSv1.3","140","Application Data"
"65","76.468026512","157.240.196.60","10.9.1.23","TLSv1.3","97","Application Data"
"66","76.468026659","157.240.196.60","10.9.1.23","TLSv1.3","101","Application Data"
"67","76.468026748","157.240.196.60","10.9.1.23","TLSv1.3","101","Application Data"
"68","76.468497871","10.9.1.23","157.240.196.60","TLSv1.3","97","Application Data"
"69","76.500212264","157.240.196.60","10.9.1.23","TLSv1.3","552","Application Data"
