"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.025210900","10.9.2.132","157.240.195.56","TCP","66","41722  >  443 [ACK] Seq=1 Ack=1 Win=3037 Len=0 TSval=1552085129 TSecr=2426549570"
"210","3.009180188","10.9.2.132","72.246.151.26","TCP","66","37250  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399889623 TSecr=571320278"
"211","3.009203700","10.9.2.132","72.246.151.26","TCP","66","37236  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399889623 TSecr=571320278"
"212","3.009208957","10.9.2.132","72.246.151.26","TCP","66","37244  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399889623 TSecr=571320278"
"213","3.009217485","10.9.2.132","72.246.151.26","TCP","66","37254  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399889623 TSecr=571320278"
"214","3.009222081","10.9.2.132","72.246.151.26","TCP","66","37262  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399889623 TSecr=571320278"
"215","3.011849281","72.246.151.26","10.9.2.132","TCP","66","[TCP ACKed unseen segment] 80  >  37262 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=571330518 TSecr=2399868935"
"216","3.011849701","72.246.151.26","10.9.2.132","TCP","66","[TCP ACKed unseen segment] 80  >  37236 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=571330518 TSecr=2399868936"
"217","3.011849792","72.246.151.26","10.9.2.132","TCP","66","[TCP ACKed unseen segment] 80  >  37250 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=571330518 TSecr=2399868934"
"218","3.011936861","72.246.151.26","10.9.2.132","TCP","66","[TCP ACKed unseen segment] 80  >  37254 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=571330518 TSecr=2399868934"
"219","3.011936672","72.246.151.26","10.9.2.132","TCP","66","[TCP ACKed unseen segment] 80  >  37244 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=571330518 TSecr=2399868934"
"515","5.561654707","10.9.2.132","104.199.65.124","SSL","77","Continuation Data"
"524","5.628796120","104.199.65.124","10.9.2.132","SSL","77","Continuation Data"
"525","5.628839417","10.9.2.132","104.199.65.124","TCP","66","52614  >  443 [ACK] Seq=12 Ack=12 Win=501 Len=0 TSval=3762964827 TSecr=3015722915"
"1083","12.427604532","157.240.195.56","10.9.2.132","TLSv1.2","143","Application Data"
"1084","12.427625028","10.9.2.132","157.240.195.56","TCP","66","41722  >  443 [ACK] Seq=1 Ack=78 Win=3037 Len=0 TSval=1552097531 TSecr=2426562012"
"1085","12.430167928","157.240.195.56","10.9.2.132","TLSv1.2","143","Application Data"
"1086","12.430182081","10.9.2.132","157.240.195.56","TCP","66","41722  >  443 [ACK] Seq=1 Ack=155 Win=3037 Len=0 TSval=1552097534 TSecr=2426562015"
"1098","12.596958542","157.240.195.56","10.9.2.132","TLSv1.2","1669","Application Data, Application Data"
"1099","12.597016293","10.9.2.132","157.240.195.56","TCP","66","41722  >  443 [ACK] Seq=1 Ack=1758 Win=3063 Len=0 TSval=1552097701 TSecr=2426562181"
"1114","12.683768283","10.9.2.132","157.240.195.56","TLSv1.2","141","Application Data"
"1115","12.707553576","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"1119","12.725342024","157.240.195.56","10.9.2.132","TCP","66","443  >  41722 [ACK] Seq=1758 Ack=76 Win=1074 Len=0 TSval=2426562309 TSecr=1552097788"
"1125","12.749100988","157.240.195.56","10.9.2.132","TCP","66","443  >  41722 [ACK] Seq=1758 Ack=172 Win=1074 Len=0 TSval=2426562334 TSecr=1552097811"
"1126","12.755861257","10.9.2.132","192.114.147.162","QUIC","1399","Initial, DCID=164e344c221b5092, SCID=44bcfb, PKN: 0, CRYPTO"
"1127","12.759381792","192.114.147.162","10.9.2.132","QUIC","1274","Initial, DCID=44bcfb, SCID=808100134d768528, PKN: 9260337, CRYPTO, ACK, PADDING"
"1141","12.835001830","157.240.195.56","10.9.2.132","TLSv1.2","1088","Application Data"
"1142","12.835032622","10.9.2.132","157.240.195.56","TCP","66","41722  >  443 [ACK] Seq=172 Ack=2780 Win=3084 Len=0 TSval=1552097939 TSecr=2426562419"
"1379","13.249190457","10.9.2.132","72.246.151.26","TCP","66","[TCP Dup ACK 210#1] 37250  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399899863 TSecr=571330518"
"1380","13.249215924","10.9.2.132","72.246.151.26","TCP","66","[TCP Dup ACK 211#1] 37236  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399899863 TSecr=571330518"
"1381","13.249220628","10.9.2.132","72.246.151.26","TCP","66","[TCP Dup ACK 212#1] 37244  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399899863 TSecr=571330518"
"1382","13.249226123","10.9.2.132","72.246.151.26","TCP","66","[TCP Dup ACK 213#1] 37254  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399899863 TSecr=571330518"
"1383","13.249230518","10.9.2.132","72.246.151.26","TCP","66","[TCP Dup ACK 214#1] 37262  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2399899863 TSecr=571330518"
"1384","13.253269957","72.246.151.26","10.9.2.132","TCP","66","[TCP Dup ACK 218#1] 80  >  37254 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=571340758 TSecr=2399868934"
"1385","13.253269142","72.246.151.26","10.9.2.132","TCP","66","[TCP Dup ACK 219#1] 80  >  37244 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=571340758 TSecr=2399868934"
"1386","13.253269782","72.246.151.26","10.9.2.132","TCP","66","[TCP Dup ACK 216#1] 80  >  37236 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=571340758 TSecr=2399868936"
"1387","13.253269616","72.246.151.26","10.9.2.132","TCP","66","[TCP Dup ACK 215#1] 80  >  37262 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=571340758 TSecr=2399868935"
