"No.","Time","Source","Destination","Protocol","Length","Info"
"424","3.221721943","10.9.2.132","157.240.195.56","TLSv1.2","129","Application Data"
"427","3.232878028","10.9.2.132","157.240.195.56","TLSv1.2","204","Application Data"
"450","3.371331196","157.240.195.56","10.9.2.132","TLSv1.2","126","Application Data"
"451","3.371331235","157.240.195.56","10.9.2.132","TLSv1.2","139","Application Data"
"734","4.754098912","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"750","4.845319318","10.9.2.132","157.240.195.56","QUIC","1399","0-RTT, DCID=8e875edb64aa54d08884, SCID=e82580"
"761","4.888353750","157.240.195.56","10.9.2.132","QUIC","1274","Initial, DCID=e82580, SCID=561b801d75bf3300, PKN: 8574415, CRYPTO, ACK, PADDING"
"784","4.946926222","157.240.195.56","10.9.2.132","TLSv1.2","143","Application Data"
"1693","9.980432184","157.240.195.56","10.9.2.132","TLSv1.2","395","Application Data"
"1697","10.024401519","10.9.2.132","157.240.195.56","TLSv1.2","157","Application Data"
"1776","10.644307541","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"2105","12.887218321","10.9.2.132","142.250.185.234","TLSv1.3","732","Client Hello"
"2106","12.887393808","10.9.2.132","142.250.185.234","TLSv1.3","830","Change Cipher Spec, Application Data"
"2111","12.907792681","10.9.2.132","34.117.65.55","TLSv1.2","90","Application Data"
"2118","12.951476001","142.250.185.234","10.9.2.132","TLSv1.3","2802","Server Hello, Change Cipher Spec"
"2119","12.951476101","142.250.185.234","10.9.2.132","TLSv1.3","2011","Application Data"
"2122","12.955891996","10.9.2.132","142.250.185.234","TLSv1.3","124","Application Data"
"2123","12.956167881","10.9.2.132","142.250.185.234","TLSv1.3","824","Application Data"
"2132","13.012846435","142.250.185.234","10.9.2.132","TLSv1.3","680","Application Data, Application Data"
"2133","13.012846621","142.250.185.234","10.9.2.132","TLSv1.3","97","Application Data"
"2134","13.013195859","142.250.185.234","10.9.2.132","TLSv1.3","305","Application Data"
"2135","13.013299844","10.9.2.132","142.250.185.234","TLSv1.3","97","Application Data"
"2136","13.013879738","142.250.185.234","10.9.2.132","TLSv1.3","1434","Application Data"
"2137","13.013879786","142.250.185.234","10.9.2.132","TLSv1.3","1434","Application Data"
"2138","13.013879802","142.250.185.234","10.9.2.132","TLSv1.3","1098","Application Data"
"2140","13.013964418","10.9.2.132","142.250.185.234","TLSv1.3","105","Application Data"
"2141","13.014040370","10.9.2.132","142.250.185.234","TLSv1.3","90","Application Data"
"2142","13.014309312","142.250.185.234","10.9.2.132","TLSv1.3","105","Application Data"
"2260","14.272723613","157.240.195.56","10.9.2.132","TLSv1.2","143","Application Data"
"2331","14.738260061","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"2357","14.962424615","10.9.2.132","35.186.224.47","TLSv1.2","101","Application Data"
"2360","15.027488340","35.186.224.47","10.9.2.132","TLSv1.2","97","Application Data"
"2364","15.048769637","157.240.195.56","10.9.2.132","TLSv1.2","851","Application Data"
"2388","15.134214863","10.9.2.132","157.240.195.56","TLSv1.2","141","Application Data"
"2389","15.137163429","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"2399","15.215466955","10.9.2.132","157.240.196.60","QUIC","1399","0-RTT, DCID=ddee9754afc11f14, SCID=19f35c"
